selected_id,resource_type,resource_id,source_file_or_example_name,json_valid,likely_numeric,has_value,has_unit,needs_linked_context,complexity_guess,selection_priority,selection_notes
official-pilot12-01,Patient,ihe-pcd,patient-example-ihe-pcd.json,true,,,,false,low,strict-preferred,Low-complexity self-contained Patient example with clear identity fields and no linked-resource dependency.
official-pilot12-02,Patient,proband,patient-example-proband.json,true,,,,false,low,strict-preferred,Low-complexity self-contained Patient example that broadens the pilot with a genetics-oriented but still clean standalone record.
official-pilot12-03,Patient,newborn,patient-example-newborn.json,true,,,,false,medium,strict-preferred,Self-contained neonatal Patient example retained for age-range diversity despite thinner demographics than the adult examples.
official-pilot12-04,Observation,body-height,observation-example-body-height.json,true,true,true,true,true,medium,relaxed-light-context,Canonical numeric body measurement with direct value and unit; accepted with light subject-only context.
official-pilot12-05,Observation,body-temperature,observation-example-body-temperature.json,true,true,true,true,true,medium,relaxed-light-context,Canonical temperature Observation with direct numeric value and explicit unit; strong target-side gold anchor.
official-pilot12-06,Observation,heart-rate,observation-example-heart-rate.json,true,true,true,true,true,medium,relaxed-light-context,"Canonical vital-sign Observation with unambiguous code, direct value, and unit; only light subject context."
official-pilot12-07,Observation,respiratory-rate,observation-example-respiratory-rate.json,true,true,true,true,true,medium,relaxed-light-context,Canonical vital-sign Observation with direct numeric value and unit; complements heart-rate and temperature anchors.
official-pilot12-08,Observation,mbp,observation-example-mbp.json,true,true,true,true,true,medium,relaxed-light-context,Clear hemodynamic Observation with direct numeric value and unit; chosen to diversify the vital-sign subset.
official-pilot12-09,Observation,f001,observation-example-f001-glucose.json,true,true,true,true,true,medium,relaxed-light-context,Clean lab Observation with standard chemistry semantics and explicit units; kept to add non-vital measurement coverage.
official-pilot12-10,Condition,stroke,condition-example-stroke.json,true,,,,true,medium,relaxed-light-context,Clear confirmed diagnosis example with straightforward Condition structure and only light subject linkage.
official-pilot12-11,Condition,example,condition-example.json,true,,,,true,medium,relaxed-light-context,Simple acute Condition example with explicit diagnosis coding; suitable as a compact diagnosis anchor.
official-pilot12-12,Condition,example2,condition-example2.json,true,,,,true,medium,relaxed-light-context,Simple chronic Condition example centered on Asthma; retained for diagnosis-type diversity in the pilot set.
